Data,Confirmados,Descartados,Investigados,Notificados,Isolados,Internados,Monitorados,Recuperados,Óbitos
18/03/2020,1,1,-,2,,,5,,
19/03/2020,1,1,2,4,,,35,,
20/03/2020,1,1,5,7,,,47,,
21/03/2020,1,1,5,7,,,47,,
22/03/2020,1,1,5,7,,,47,,
23/03/2020,1,1,8,10,7,2,47,,
24/03/2020,1,1,8,10,8,1,67,,
25/03/2020,1,1,8,10,8,1,77,,
26/03/2020,2,2,6,11,9,0,77,,
27/03/2020,2,5,3,11,7,0,84,,
28/03/2020,2,5,3,11,7,0,84,,
29/03/2020,2,5,3,11,7,0,84,,
30/03/2020,2,8,2,14,5,2,87,,
31/03/2020,2,8,4,15,5,4,87,,
01/04/2020,2,8,5,16,6,4,108,,
02/04/2020,2,8,5,16,6,4,110,,
03/04/2020,2,8,5,16,7,3,139,,
04/04/2020,,,,,,,,,
05/04/2020,3,8,4,,,,,1,
06/04/2020,3,8,5,18,8,2,148,1,
07/04/2020,4,10,3,19,8,3,154,1,
08/04/2020,4,11,7,24,9,5,209,2,
09/04/2020,4,11,7,,,,,2,
10/04/2020,4,11,7,,,,,2,
11/04/2020,4,11,7,,,,,3,
12/04/2020,4,,,,,,,3,
13/04/2020,4,21,5,32,9,2,239,3,
14/04/2020,4,26,2,32,0,0,259,4,
15/04/2020,6,28,0,34,0,0,259,6,
16/04/2020,6,28,0,34,0,0,259,6,
17/04/2020,6,28,0,36,0,0,262,6,
18/04/2020,6,28,0,36,0,0,262,6,
19/04/2020,6,28,0,36,0,0,262,6,
20/04/2020,6,28,0,36,0,0,262,6,
21/04/2020,6,28,0,36,0,0,262,6,
22/04/2020,6,29,2,37,0,0,274,6,
23/04/2020,6,30,2,38,0,0,284,6,
24/04/2020,6,30,2,38,0,0,284,6,
25/04/2020,6,30,2,38,0,0,284,6,
26/04/2020,6,30,2,38,0,0,284,6,
27/04/2020,6,30,4,40,4,2,286,6,
28/04/2020,6,31,4,41,4,2,286,6,
29/04/2020,6,32,4,42,4,2,286,6,
30/04/2020,9,32,3,42,2,1,286,6,
01/05/2020,9,32,3,42,2,1,286,6,
02/05/2020,24,32,3,42,16,2,286,6,
03/05/2020,24,32,3,42,16,2,286,6,
04/05/2020,25,38,5,68,16,3,,7,
05/05/2020,28,40,3,71,18,2,,8,
06/05/2020,31,41,7,,21,2,,8,
07/05/2020,31,42,8,81,21,2,,8,
08/05/2020,31,48,2,81,21,2,,12,
09/05/2020,31,48,2,81,21,2,,12,
10/05/2020,31,48,2,81,21,2,,12,
11/05/2020,32,49,0,81,18,2,,12,
12/05/2020,32,53,0,85,18,1,,13,
13/05/2020,32,53,0,85,18,1,,13,
14/05/2020,34,54,6,94,19,1,,14,
15/05/2020,34,57,4,95,20,1,,14,
16/05/2020,34,57,4,95,20,1,,14,
17/05/2020,34,57,4,95,20,1,,14,
18/05/2020,37,59,1,97,4,1,,31,1
19/05/2020,37,79,1,117,4,1,,31,1
20/05/2020,39,79,3,121,6,1,,31,1
21/05/2020,39,84,2,125,6,1,,31,1
22/05/2020,42,86,2,130,10,0,,31,1
